rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,mapa_Summit,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6a5cc3a5-0591-4bd2-9802-688792aba92d,15.0,5.0,19.0,9.0,1.0,175.538,3.0,4.0,0.0,12.0,14.0,1.0,1.0,3.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,77d7f7a9-5a9c-415d-adef-d7b05122886b,11.0,9.0,14.0,9.0,1.0,248.0,0.0,0.0,0.0,2.0,13.0,1.0,2.0,2.0
2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,d5138002-9620-4caa-89da-03f5a43ca604,2.0,2.0,2.0,0.0,1.0,44.692,1.0,0.0,1.0,5.0,0.0,1.0,2.0,2.0
2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20680e59-2d32-4ade-b437-a15fa044aff3,15.0,6.0,20.0,5.0,1.0,187.0,3.0,4.0,0.0,11.0,13.0,0.0,2.0,2.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,a7d8f6a6-47fd-4be3-8397-a73382f6c407,12.0,6.0,12.0,6.0,1.0,150.667,0.0,1.0,1.0,13.0,8.0,0.0,1.0,3.0
2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60443550-24cc-4252-af82-258ccbcc9fe3,12.0,4.0,16.0,9.0,1.0,180.75,1.0,0.0,0.0,7.0,13.0,1.0,1.0,3.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1e129077-3db1-47b2-803b-94ba6ad281eb,29.0,3.0,7.0,11.0,1.0,451.647,2.0,0.0,1.0,13.0,4.0,1.0,1.0,3.0
2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,aed4812c-ebe3-4325-8fe7-868dd06ea147,9.0,4.0,20.0,4.0,1.0,140.087,1.0,4.0,0.0,10.0,13.0,1.0,1.0,3.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,19adebbf-24a9-4db2-ab0f-26c00f7ba9ff,9.0,1.0,14.0,2.0,1.0,136.059,1.0,2.0,0.0,4.0,13.0,0.0,1.0,3.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2b7545cc-27f4-48a6-9539-6bb8f9712c75,5.0,9.0,23.0,0.0,1.0,91.231,0.0,2.0,0.0,12.0,14.0,1.0,2.0,2.0
2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,aa89c6f4-201d-49c1-b316-552adb7fa970,11.0,6.0,17.0,3.0,1.0,135.792,0.0,2.0,0.0,11.0,13.0,1.0,1.0,3.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672bf792-492d-4c51-98f3-b741cfda6d52,10.0,3.0,18.0,4.0,0.0,136.043,1.0,2.0,1.0,13.0,10.0,1.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,e3cd03e9-a24b-47e2-9183-e583e77e9387,9.0,1.0,17.0,9.0,0.0,115.917,1.0,2.0,0.0,11.0,13.0,1.0,2.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,a67a1852-2067-4aa2-8f7e-10e1a9843287,8.0,1.0,13.0,3.0,0.0,123.412,0.0,1.0,0.0,4.0,13.0,0.0,2.0,2.0
