rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,mapa_Summit,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5ada1934-7763-407c-bb71-08a77f9fce90,11.0,0.0,15.0,9.0,2.0,150.789,3.0,0.0,0.0,6.0,13.0,0.0,1.0,3.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,76870689-608f-44f4-ac90-b25dd2f0138a,23.0,4.0,11.0,23.0,2.0,356.222,4.0,5.0,1.0,13.0,5.0,0.0,1.0,3.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,f26e1605-e7f6-4e43-8db9-ca2f56280256,18.0,4.0,14.0,13.0,2.0,250.65,3.0,4.0,2.0,13.0,7.0,1.0,1.0,3.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,701be06f-03ca-4d1f-9181-82633371e44d,14.0,3.0,10.0,11.0,2.0,254.667,7.0,3.0,3.0,13.0,2.0,0.0,1.0,3.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,d58b67fc-2ad8-493d-823d-28f52f77a8ea,19.0,3.0,16.0,18.0,2.0,269.55,6.0,5.0,4.0,13.0,7.0,0.0,1.0,3.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ad5dc5ad-2c7f-4c98-b81b-ab5f2487baa6,7.0,1.0,15.0,6.0,2.0,109.706,1.0,5.0,0.0,4.0,13.0,1.0,1.0,3.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1d458345-5f56-4778-befa-beed780e6621,16.0,1.0,15.0,17.0,2.0,280.294,4.0,4.0,0.0,4.0,13.0,0.0,1.0,3.0
7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e14f50d-a52e-4e82-98a7-1b98b56569f0,22.0,1.0,18.0,15.0,2.0,247.625,2.0,2.0,0.0,11.0,13.0,0.0,1.0,3.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74b0d499-51e0-4734-8fb4-c95bfd36537e,15.0,3.0,14.0,11.0,2.0,209.45,3.0,2.0,1.0,13.0,7.0,1.0,1.0,3.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,f239e047-dae8-49ad-82fe-a2afe0098116,17.0,8.0,19.0,22.0,3.0,278.65,4.0,3.0,0.0,7.0,13.0,0.0,1.0,3.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,da220aac-1f3e-40c7-add0-6c44d02cb3f8,15.0,1.0,9.0,12.0,2.0,291.5,3.0,1.0,1.0,13.0,1.0,0.0,1.0,3.0
7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e12dfd42-5878-4afe-a464-58195f8ed3c3,15.0,6.0,15.0,14.0,2.0,238.263,4.0,0.0,2.0,13.0,6.0,1.0,2.0,2.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,804517e8-283c-416a-afdf-66a8685c7711,16.0,3.0,10.0,17.0,2.0,273.176,4.0,2.0,3.0,13.0,4.0,1.0,1.0,3.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3dde8fe2-b9b5-4db3-b3f7-2fc5b7e34d2b,13.0,3.0,10.0,14.0,2.0,207.5,2.0,1.0,4.0,13.0,3.0,0.0,1.0,3.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,536ce8e9-b172-4010-82ad-263b70f22224,27.0,5.0,18.0,23.0,3.0,306.75,3.0,1.0,0.0,11.0,13.0,0.0,0.0,4.0
7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,adc2923b-2008-4fbe-b97d-5d40cb0b15f0,16.0,3.0,15.0,9.0,3.0,244.0,4.0,2.0,1.0,13.0,5.0,0.0,0.0,4.0
7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10d291ca-99a0-44f3-9f03-63412cfb4fde,22.0,3.0,9.0,17.0,3.0,354.875,4.0,1.0,2.0,13.0,3.0,0.0,0.0,4.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,748a7806-bfd1-487a-ba41-0aaf48012c66,8.0,4.0,16.0,6.0,3.0,163.786,0.0,1.0,0.0,1.0,13.0,1.0,0.0,4.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65778be9-2279-4525-9d3e-1a69e090eb66,19.0,3.0,14.0,17.0,3.0,329.529,1.0,0.0,0.0,4.0,13.0,1.0,0.0,4.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82847d9f-8a17-43e7-801d-f656ca74f853,19.0,3.0,16.0,12.0,3.0,205.522,1.0,3.0,1.0,13.0,10.0,1.0,0.0,4.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4ce515b6-5f21-4b40-85fe-0714e99303de,10.0,1.0,16.0,10.0,3.0,184.941,3.0,6.0,0.0,4.0,13.0,0.0,2.0,2.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2cbff1b9-b0e3-46ed-8b9c-d93720c3dd29,24.0,0.0,18.0,19.0,3.0,332.85,7.0,2.0,0.0,7.0,13.0,0.0,2.0,2.0
7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661467fd-a2b0-4514-8627-ce98d3761d2d,13.0,1.0,20.0,11.0,3.0,161.773,4.0,10.0,1.0,13.0,9.0,1.0,2.0,2.0
7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f29bd388-50c8-46cc-9548-0c6e6ecac995,9.0,3.0,21.0,6.0,3.0,111.917,0.0,6.0,0.0,11.0,13.0,0.0,2.0,2.0
