rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,mapa_Summit,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,db56099c-8a7e-4bb8-a5d9-7df7a73b8066,11.0,2.0,14.0,7.0,2.0,173.167,2.0,4.0,0.0,5.0,13.0,1.0,2.0,2.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,69a933b5-c383-4f33-ac6f-a8560d04c211,18.0,5.0,9.0,15.0,2.0,279.842,4.0,2.0,1.0,13.0,6.0,1.0,2.0,2.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,f641bbff-3640-4ff5-8058-bb1f81922fcb,27.0,4.0,23.0,15.0,2.0,281.357,4.0,0.0,2.0,15.0,13.0,1.0,2.0,2.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,72fad432-23ad-4f04-9ddb-83f28e5d46a3,23.0,8.0,17.0,18.0,2.0,281.565,0.0,1.0,0.0,10.0,13.0,0.0,2.0,2.0
6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,b06012a7-07e5-4f9a-b0e6-c8d32ab2909a,10.0,2.0,16.0,6.0,2.0,139.35,0.0,2.0,0.0,7.0,13.0,0.0,2.0,2.0
