jugador,mapa,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas
Aaronnn17,Lotus,Harbor,Controlador,17,7,18,4,"['angelutrix', 'BaronRed ツ', 'MaxwellGauss', 'Alexxx2291']",Unrated,,"['Chamber', 'Harbor', 'Veto', 'Phoenix', 'Reyna']",193.560,2,2,1,13,12
Aaronnn17,Breeze,Chamber,Centinela,15,5,10,6,"['arianluiss', 'NoGratoElGato', 'angelutrix', 'Sr Inter']",Gold,3,"['Fade', 'Miks', 'Viper', 'Phoenix', 'Chamber']",252.222,4,2,2,13,5
Aaronnn17,Lotus,Harbor,Controlador,19,10,15,8,"['TLCM', 'Florian Wirtz', 'angelutrix', 'guillermou']",Gold,3,"['Fade', 'Harbor', 'Raze', 'Skye', 'Chamber']",232.208,4,4,3,13,11
Aaronnn17,Bind,Sova,Iniciador,12,5,9,8,"['gatx', 'J U X S', 'Alexxx2291', 'RIGBY']",Gold,3,"['Reyna', 'Astra', 'Cypher', 'Phoenix', 'Sova']",200.125,4,1,4,13,3
Aaronnn17,Bind,Brimstone,Controlador,21,11,11,6,"['daniyjan14', 'Alexxx2291', 'Doppelgänger', 'VioletLeo']",Gold,2,"['Waylay', 'Gekko', 'Brimstone', 'Chamber', 'Clove']",263.087,1,1,5,13,10
