jugador,mapa,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas
mamipito,Fracture,KAY/O,Iniciador,10,10,19,7,"['Aaronnn17', 'Chiste sad002', 'neytiri97', 'Aaaxyela2508']",Bronze,2,"['Chamber', 'KAY/O', 'Neon', 'Killjoy', 'Miks']",124.917,1,6,0,11,13
mamipito,Fracture,Skye,Iniciador,9,9,10,5,"['Chiste sad002', 'neytiri97', 'Aaronnn17', 'Aaaxyela2508']",Unrated,,"['Gekko', 'Killjoy', 'Jett', 'Skye', 'Miks']",177.929,0,1,1,13,1
mamipito,Abyss,KAY/O,Iniciador,7,10,20,6,"['Aaaxyela2508', 'Chiste sad002', 'Morf9', 'Aaronnn17']",Unrated,,"['Miks', 'Deadlock', 'Yoru', 'Astra', 'KAY/O']",111.682,1,2,0,9,13
mamipito,Breeze,Viper,Controlador,14,7,15,9,"['Freeze08mind', 'zimeix', 'whoselsa', 'papa pito']",Unrated,,"['Sova', 'Raze', 'Reyna', 'Chamber', 'Viper']",204.773,3,2,1,13,9
mamipito,Fracture,Skye,Iniciador,13,12,15,6,"['luquitas07', 'Aaaxyela2508', 'papa pito', '5H4D0W']",Unrated,,"['Phoenix', 'Killjoy', 'Skye', 'Brimstone', 'Omen']",162.864,2,0,2,13,9
