jugador,mapa,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas
angelutrix,Lotus,Chamber,Centinela,18,3,18,10,"['Aaronnn17', 'BaronRed ツ', 'MaxwellGauss', 'Alexxx2291']",Unrated,,"['Chamber', 'Harbor', 'Veto', 'Phoenix', 'Reyna']",190.440,3,2,1,13,12
angelutrix,Breeze,Viper,Controlador,15,2,9,9,"['arianluiss', 'NoGratoElGato', 'Sr Inter', 'Aaronnn17']",Silver,1,"['Fade', 'Miks', 'Viper', 'Phoenix', 'Chamber']",205.611,1,0,2,13,5
angelutrix,Lotus,Skye,Iniciador,14,18,17,6,"['TLCM', 'Aaronnn17', 'Florian Wirtz', 'guillermou']",Silver,1,"['Fade', 'Harbor', 'Raze', 'Skye', 'Chamber']",191.708,1,2,3,13,11
angelutrix,Skirmish C,Chamber,Centinela,9,1,9,0,['Solvane'],Unrated,,"['Chamber', 'Reyna']",145.875,6,4,4,10,6
angelutrix,Ascent,Chamber,Centinela,14,0,5,8,"['Rufue', 'LiNko072', 'MAXIMUS LIBIERUS', 'JohanLiebe']",Unrated,,"['Clove', 'Phoenix', 'Chamber', 'Cypher', 'Sova']",457.125,3,0,0,3,5
