id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas
9a5775ee-f7e4-4b00-be02-530f7674357b,papa pito,Fracture,Unrated,Brimstone,Controlador,13,8,17,5,"['Pecolsito', 'angelutrix', 'Ymarx', 'bardoisback']",Unrated,,"['Chamber', 'Skye', 'Reyna', 'Phoenix', 'Brimstone']",196.429,2,1,1,13,8
38a947ae-5a10-4dca-ac93-38d2eb81a6bb,papa pito,Haven,Unrated,Omen,Controlador,19,12,20,4,"['pinkmoth', 'angelutrix', 'mamipito', 'Chiste sad002']",Unrated,,"['Omen', 'Sage', 'Vyse', 'Jett', 'Gekko']",225.640,3,4,1,13,12
bfef624e-d376-44fb-9904-fa94176c1c10,papa pito,Lotus,Unrated,Skye,Iniciador,6,5,12,4,"['Chiste sad002', 'mamipito', 'julen113', 'angelutrix']",Unrated,,"['Vyse', 'KAY/O', 'Reyna', 'Brimstone', 'Skye']",102.000,3,4,0,3,10
fdd4469f-d72e-4963-b5b7-2948a130e34d,papa pito,Ascent,Swiftplay,Reyna,Duelista,14,3,6,7,"['juanmita11', 'Chiste sad002', 'Proex411', 'angelutrix']",Unrated,,"['Astra', 'Gekko', 'Reyna', 'Killjoy', 'Chamber']",441.889,0,2,0,4,5
e8b31f4e-991f-49eb-acc6-79cffea7f46a,papa pito,Pearl,Competitive,Astra,Controlador,13,5,17,4,"['alex243', 'godAIM knG kamo', 'itsHERL', 'angelutrix']",Silver,2,"['Yoru', 'Raze', 'Sage', 'Skye', 'Astra']",238.579,2,1,0,6,13
c8dece2e-b622-4eaf-ad1f-efd3f29726b9,papa pito,Haven,Competitive,Fade,Iniciador,13,6,20,8,"['Tom Nook', 'Nobita Nobi', 'gonzoller', 'OORTGA']",Silver,2,"['Miks', 'Phoenix', 'Fade', 'Jett', 'Chamber']",162.500,2,2,0,12,14
d034107a-37cd-4789-9a6e-69b9496e0e3d,papa pito,Split,Competitive,Tejo,Iniciador,11,5,16,4,"['Axyela2508', 'Aaronnn17', 'mamipito', 'titanacorazado14']",Silver,2,"['Sage', 'Tejo', 'Raze', 'Killjoy', 'Omen']",225.412,3,3,0,4,13
cdef18e7-590b-44d4-8a9b-f9b472b8ac62,papa pito,Breeze,Premier,Skye,Iniciador,16,8,18,5,"['Axyela2508', 'Aaronnn17', 'angelutrix', 'Chiste sad002']",Unrated,,"['Miks', 'Skye', 'Chamber', 'Viper', 'Neon']",239.429,1,3,0,8,13
bef27d95-b659-4002-902f-71dd6c0a9671,papa pito,Breeze,Premier,Chamber,Centinela,13,4,14,2,"['Axyela2508', 'Aaronnn17', 'Chiste sad002', 'angelutrix']",Unrated,,"['Sage', 'Sova', 'Chamber', 'Neon', 'Viper']",210.056,3,1,0,5,13
c07f2ea1-1aba-4ce6-88c5-8978ab4d2708,papa pito,Abyss,Unrated,Skye,Iniciador,9,3,19,6,"['angelutrix', 'christovell', 'mamipito', 'rondax']",Unrated,,"['Chamber', 'Sage', 'Skye', 'Omen', 'Reyna']",141.350,3,5,0,7,13
7b0bce8c-f751-4edc-9928-6ac661fdcab4,papa pito,Fracture,Unrated,Astra,Controlador,9,3,7,1,"['rondax', 'NOSTA2', 'angelutrix', 'mamipito']",Unrated,,"['Reyna', 'Chamber', 'Cypher', 'Astra', 'Skye']",155.500,0,0,0,3,8
d034107a-37cd-4789-9a6e-69b9496e0e3d,papa pito,Split,Competitive,Tejo,Iniciador,11,5,16,4,"['Axyela2508', 'Aaronnn17', 'mamipito', 'titanacorazado14']",Silver,2,"['Sage', 'Tejo', 'Raze', 'Killjoy', 'Omen']",225.412,3,3,0,4,13
cdef18e7-590b-44d4-8a9b-f9b472b8ac62,papa pito,Breeze,Premier,Skye,Iniciador,16,8,18,5,"['Axyela2508', 'Aaronnn17', 'angelutrix', 'Chiste sad002']",Unrated,,"['Miks', 'Skye', 'Chamber', 'Viper', 'Neon']",239.429,1,3,0,8,13
bef27d95-b659-4002-902f-71dd6c0a9671,papa pito,Breeze,Premier,Chamber,Centinela,13,4,14,2,"['Axyela2508', 'Aaronnn17', 'Chiste sad002', 'angelutrix']",Unrated,,"['Sage', 'Sova', 'Chamber', 'Neon', 'Viper']",210.056,3,1,0,5,13
